affiliation,party_leader,start_location,target_location,start_time,end_time,army_size_before,army_size_after,battle_id,battle_name,is_done
Lannister,Jaime Lannister,Casterly Rock,Golden Tooth,0,1,15000,15000,1,Battle of the Golden Tooth,0
Stark,Lord Vance,Pink Maiden,Golden Tooth,0,1,4000,0,1,Battle of the Golden Tooth,1
Lannister,Tywin Lannister,Casterly Rock,Pink Maiden,0,1,20000,20000,2,Battle at the Mummer's Ford,0
Stark,Robb Stark,Winterfell,Twins,0,6,400,18000,,,0
Stark,Beric Dondarrion,King's Landing,Pink Maiden,0,1,120,0,2,Battle at the Mummer's Ford,1
Stark,Edmure Tully,Riverrun,Riverrun,0,2,5000,10000,3,Battle of Riverrun,0
Lannister,Jaime Lannister,Golden Tooth,Riverrun,1,2,15000,15000,3,Battle of Riverrun,0
Lannister,Tywin Lannister,Pink Maiden,Acorn Hall,2,3,20000,20000,,,0
Lannister,Tywin Lannister,Acorn Hall,Harrenhal,3,4,20000,20000,,,0
Lannister,Tywin Lannister,Harrenhal,Green Fork,5,7,20000,20000,4,Battle of the Green Fork,0
Lannister,Jaime Lannister,Riverrun,Whispering Woods,6,7,2250,1,5,Battle of the Whispering Woods,0
Stark,Robb Stark,Twins,Whispering Woods,6,7,6000,6000,5,Battle of the Whispering Woods,0
Stark,Robb Stark,Whispering Woods,Riverrun,7,8,6000,6000,6,Battle of teh Camps,0
Lannister,Tywin Lannister,Whispering Woods,Harrenhal,7,8,20000,20000,,,0
Renly Baratheon,Renly Baratheon,King's Landing,Highgarden,7,8,1,100000,,,0
Stark,Roose Bolton,Twins,Green Fork,6,7,18000,13000,4,Battle of the Green Fork,0
Stark,Roose Bolton,Green Fork,Twins,7,8,13000,13000,,,0
Lannister,Gregor Clegane,Harrenhal,Darry,8,9,5000,5000,7,Sack of Darry,0
Renly Baratheon,Renly Baratheon,Highgarden,Bitterbridge,8,9,100000,100000,,,0
Greyjoy,Victarion Greyjoy,Pyke,Moat Cailin,9,10,1000,1000,8,Battle of Moat Cailin,0
Greyjoy,Asha Grejoy,Pyke,Deepwood Motte,9,10,1000,1000,9,Battle of Deepwood Motte,0
Greyjoy,Theon Greyjoy,Pyke,Stony Shore,9,10,250,250,10,Battle of Stony Shore,0
Greyjoy,Dagmer Cleftjaw,Pyke,Torrhen's Square,9,10,900,900,13,Battle of Torrhen's Square,0
Greyjoy,Theon Greyjoy,Stony Shore,Winterfell,10,11,250,20,12,Battle of Winterfell,0
Lannister,Ramsay Snow,Dreadfort,Winterfell,10,11,600,600,12,Battle Winterfell,0
Stark,Rodrik Cassel,Winterfell,Winterfell,11,12,2000,0,12,Battle of Winterfell,1
Stannis Baratheon,Stannis Baratheon,Storm's End,King's Landing,11,13,5000,7250,20,Battle of the Blackwater,0
Stannis Baratheon,Erren Florent,Bitterbridge,King's Landing,12,13,25000,25000,20,Battle of the Blackwater,0
Stannis Baratheon,Erren Florent,King's Landing,King's Landing,13,14,25000,0,20,Battle of the Blackwater,1
Renly Baratheon,Loras Tyrell,Bitterbridge,Bitterbridge,10,11,80000,80000,,,-
Stannis Baratheon,Stannis Baratheon,King's Landing,King's Landing,13,14,7250,2500,20,Battle of the Blackwater,0
Lannister,Stafford Lannister,Lannisport,Lannisport,9,10,10000,0,15,Battle of Oxcross,1
Stark,Robb Stark,Riverrun,Oxcross,9,10,6000,6000,15,Battle of the Oxcross,0
Stannis Baratheon,Stannis Baratheon,Dragonstone,Storm's End,8,11,5000,5000,16,Siege of Storm's End,0
Renly Baratheon,Renly Baratheon,Bitterbridge,Storm's End,10,11,20000,0,16,Siege of Storm's End,1
Lannister,Loras Tyrell,Bitterbridge,Tumbler's Fall,12,13,50000,50000,,,1
Lannister,Tywin Lannister,Stone Mill,Tumbler's Fall,12,13,5000,10000,,,0
Stark,Edmure Tully,Riverrun,Crossroad Inn,10,12,11000,9000,17,Battle of the Fords,0
Lannister,Tywin Lannister,Winterfell,Crossroad Inn,11,12,20000,5000,17,Battle of the Fords,0
Stark,Roose Bolton,Twins,Harrenhal,12,13,13000,13000,18,Battle of Harrenhall,0
Stark,Robb Stark,Oxcross,Crag,12,13,6000,6000,19,Battle of the Crag,0
Greyjoy,Asha Greyjoy,Deepwood Motte,Deepwood Motte,18,19,1000,140,19,Retaking of Deepwood Motte,1
Stark,Darry,Riverrun,Darry,14,15,2000,2000,21,Siege of Darry,1
Stannis Baratheon,Stannis Baratheon,King's Landing,Dragonstone,14,15,2500,2500,,,0
Stark,Roose Bolton,Harrenhal,Duskendale,15,16,13000,3000,22,Battle of Duskendale,0
Stark,Robb Stark,Crag,Oldstones,14,15,6000,3500,,,0
Lannister,Gregar Clegane,Darry,Crossroad Inn,15,16,10000,10000,24,Battle of the Ruby Ford,0
Stark,Robb Stark,Oldstones,Twins,15,16,3500,3500,,,0
Lannister,Gregar Clegane,Crossroad Inn,Harrenhal,16,17,10000,10000,25,Retaking of Harrenhal,0
Lannister,Roose Bolton,Duskendale,Twins,16,17,3500,3500,26,Red Wedding,0
Stark,Robb Stark,Twins,Twins,16,17,3500,0,26,Red Wedding,1
Lannister,Frey,Twins,Seagard,17,18,4000,4000,27,Siege of Seagard,0
Stannis Baratheon,Stannis Baratheon,Dragonstone,Castle Black,17,18,2500,3000,28,Battle of Castle Black,0
Lannister,Ramsay Snow,Winterfell,Moat Cailin,17,18,600,6000,29,Siege of Moat Cailin,0
Lannister,Jaime Lannister,Whispering Woods,King's Landing,17,19,1,1,,,0
Stannis Baratheon,Stannis Baratheon,Castle Black,Deepwood Motte,18,19,3000,4500,31,Retaking of Deepwood Motte,0
Greyjoy,Euron Greyjoy,Pyke,Shield Islands,18,19,1000,1000,32,Battle of the Shield Islands,0
Lannister,Mace Tyrell,King's Landing,Storm's End,19,20,10000,10000,34,Second Siege of Storm's End,0
Lannister,Loras Tyrell,King's Landing,Dragonstone,19,20,2000,2000,35,Siege of Dragonstone,0
Lannister,Jaime Lannister,King's Landing,Riverrun,19,20,3000,3000,36,Siege of Riverrun,0
Stark,Brynden Tully,Riverrun,Riverrun,19,20,200,200,36,Siege of Riverrun,0
Greyjoy,Euron Greyjoy,Shield Islands,"Ryamsport, Vinetown, Starfish Harbor",19,20,1000,1000,,,0
Lannister,Ramsay Snow,Moat Cailin,Winterfell,18,20,6000,8000,38,Siege of Winterfell,0
Stannis Baratheon,Stannis Baratheon,Deepwood Motte,Winterfell,19,20,4500,0,38,Siege of Winterfell,1
Lannister,Mace Tyrell,Highgarden,King's Landing,10,13,10000,60000,,Battle of the Blackwater,0
Lannister,Tywin Lannister,Tumbler's Fall,King's Landing,13,14,10000,10000,,Battel of the Blackwater,0
Stark,Wyman Manderly,Harrenhal,Crossroad Inn,15,16,6000,0,,Battle of the Ruby Ford,1
