Affiliation,Party,Leader,Location,Time,Battle,Army Size
THE WAR IN THE RIVERLANDS,,,,,,
Lannister,Tywin Lannister,Tywin Lannister,Casterly Rock,0,None,20000
Lannister,Jaime Lannister,Jaime Lannister,Casterly Rock,0,None,15000
Lannister,Jaime Lannister,Jaime Lannister,Golden Tooth,1,Battle of the Golden Tooth,15000
Lannister,Jaime Lannister,Tywin Lannister,Mummer's Ford,1,Battle at the Mummer's Ford,20000
Lannister,Jaime Lannister,Jaime Lannister,Riverrun,2,Battle of Riverrun,15000
Lannister,Tywin Lannister,Tywin Lannister,Pinkmaiden,2,None,20000
Lannister,Tywin Lannister,Tywin Lannister,Acorn Hall,3,None,20000
Lannister,Tywin Lannister,Tywin Lannister,High Heart,4,None,20000
Lannister,Tywin Lannister,Tywin Lannister,Harrenhal,5,None,20000
Lannister,Jaime Lannister,Jaime Lannister,Riverrun,2,Battle of Riverrun,15000
Stark,Beric Dondarrion,Beric Dondarrion,King's Landing,0,None,120
Stark,Beric Dondarrion,Beric Dondarrion,Mummer's Ford,0,Battle at the Mummer's Ford,120
Stark,Tully,Clement Piper,Pinkmaiden,0,None,2000
Stark,Tully,Clement Piper,Golden Tooth,1,Battle of the Golden Tooth,2000
Stark,Tully,Lord Vance,Wayfarer's Rest,0,None,2000
Stark,Tully,Clement Piper,Golden Tooth,1,Battle of the Golden Tooth,2000
Stark,Tully,Edmure Tully,Riverrun,2,Battle of Riverrun,10000
Lannister,Jaime Lannister,Jaime Lannister,Riverrun,5,Battle of Riverrun,15000
Stark,Tully,Edmure Tully,Riverrun,5,Battle of Riverrun,10000
THE WOLF AND THE LION,,,,,,
Stark,Robb Stark,Robb Stark,Winterfell,0,None,12000
Stark ,Robb Stark,Robb Stark,Moat Cailin,5,None,20000
Stark,None,None,Moat Cailin,5,None,400
Stark,Robb Stark,Roose Bolton,Twins,6,None,18000
Stark,Robb Stark,Robb Stark,Twins,6,None,6000
Stark,Roose Bolton,Roose Bolton,Green Fork,7,Battle of the Green Fork,18000
