affiliation,party,leader,location,time,battle,army_size,battle_id,,
Renly Baratheon,Tywin Lannister,Tywin Lannister,Casterly Rock,0,None,20000,,,
Lannister,Jaime Lannister,Jaime Lannister,Casterly Rock,0,None,15000,,,
Stark,Beric Dondarrion,Beric Dondarrion,King's Landing,0,None,120,,,
Stark,Tully,Clement Piper,Pinkmaiden,0,None,2000,,,
Stark,Tully,Lord Vance,Wayfarer's Rest,0,None,2000,,,
Stark,Robb Stark,Robb Stark,Winterfell,0,None,12000,,,
Renly Baratheon,Renly Baratheon,Renly Baratheon,King's Landing,0,None,0,,,
Stark,Beric Dondarrion,Beric Dondarrion,Mummer's Ford,1,Battle at the Mummer's Ford,120,2,,
Lannister,Jaime Lannister,Jaime Lannister,Golden Tooth,1,Battle of the Golden Tooth,15000,1,,
Lannister,Jaime Lannister,Tywin Lannister,Mummer's Ford,1,Battle at the Mummer's Ford,20000,2,,
Stark,Tully,Clement Piper,Golden Tooth,1,Battle of the Golden Tooth,4000,1,,
Lannister,Jaime Lannister,Jaime Lannister,Riverrun,2,Battle of Riverrun,15000,3,,
Lannister,Tywin Lannister,Tywin Lannister,Pinkmaiden,2,None,20000,,,
Stark,Tully,Edmure Tully,Riverrun,2,Battle of Riverrun,10000,3,,
Lannister,Tywin Lannister,Tywin Lannister,Acorn Hall,3,None,20000,,,
Lannister,Tywin Lannister,Tywin Lannister,High Heart,4,None,20000,,,
Lannister,Tywin Lannister,Tywin Lannister,Harrenhal,5,None,20000,,,
Lannister,Jaime Lannister,Jaime Lannister,Riverrun,5,Battle of Riverrun,15000,3,Ends,Note. if it appears twice that means it should disappear after a length of time
Stark,Tully,Edmure Tully,Riverrun,5,Battle of Riverrun,10000,3,Ends,
Stark ,Robb Stark,Robb Stark,Moat Cailin,5,None,20000,,,
Stark,None,None,Moat Cailin,5,None,400,,,
Stark,Robb Stark,Roose Bolton,Twins,6,None,18000,,,
Stark,Robb Stark,Robb Stark,Twins,6,None,6000,,,
Stark,Roose Bolton,Roose Bolton,Green Fork,7,Battle of the Green Fork,18000,4,,
Stark,Robb Stark,Robb Stark,Whispering Wood,7,Battle of the Whispering Wood,6000,5,,
Lannister,Jaime Lannister,Jaime Lannister,Whispering Wood,7,Battle of the Whispering Wood,2250,5,,
Lannister,Tywin Lannister,Tywin Lannister,Green Fork,7,Battle of the Green Fork,20000,4,,
Lannister,Andros Brax,Andros Brax,Riverrun,8,Battle of the Camps,12000,6,,
Stark,Roose Bolton,Roose Bolton,Twins,8,None,13000,,,
Stark,Robb Stark,Robb Stark,Riverrun,8,Battle of the Camps,6000,6,,
Lannister,Tywin Lannister,Tywin Lannister,Harrenhal,8,None,19000,,,
Lannister,Tywin Lannister,Forley Prester,Golden Tooth,8,None,2000,,,
Renly Baratheon,Renly Baratheon,Renly Baratheon,Highgarden,8,None,100000,,,
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Dragonstone,8,None,5000,,,
Renly Baratheon,Renly Baratheon,Renly Baratheon,Bitterbridge,9,None,100000,,,
Greyjoy,Balon Greyjoy,Balon Greyjoy,Iron Islands,9,None,5000,,,
Lannister,Stafford Lannister,Stafford Lannister,Lannisport,9,None,5000,,,
Lannister,Gregor Clegane,,,9,None,5000,7,,
Greyjoy,Victarion Greyjoy,Victarion Greyjoy,Moat Cailin,10,Battle of Moat Cailin,1000,8,,
Greyjoy,Asha Greyjoy,Asha Greyjoy,Deepwood Motte,10,Battle of Deepwood Motte,1000,9,,
Greyjoy,Theon Greyjoy,Theon Greyjoy,Stony Shore,10,Battle of Stony Shore,250,10,,
Lannister,Ramsay Snow,Ramsay Snow,Dreadfort,10,None,600,,,
Lannister,Stafford Lannister,Stafford Lannister,Lannisport,10,Battle of Oxcross,10000,15,,
Stark,Robb Stark,Robb Stark,Oxcross,10,Battle of Oxcross,6000,15,,
Stark,Edmure Tully,Edmure Tully,Riverrun,10,None,"11,000",,,
Lannister,Mace Tyrell,Mace Tyrell,Highgarden,10,None,"10,000",,,
Greyjoy,Dagmer Cleftjaw,Dagmer Cleftjaw,Torrhen's Square,10,Battle of Torrhen's Square,900,11,,
Greyjoy,Theon Greyjoy,Theon Greyjoy,Winterfell,11,Battle Winterfell,250,12,,
Stark,Rodrik Cassel,Rodrik Cassel,Winterfell,11,Battle Winterfell,2000,12,,
Lannister,Ramsay Snow,Ramsay Snow,Winterfell,11,Battle Winterfell,600,12,,
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Storm's End,11,Seige of Storm's End,5000,16,,
Renly Baratheon,Renly Baratheon,Renly Baratheon,Storm's End,11,Seige of Storm's End,20000,16,,
Stannis Baratheon,Erren Florent,Erren Florent,bitterbridge,12,None,25000,,,
Renly Baratheon,Loras Tyrell,Loras Tyrell,bitterbridge,12,None,"50,000",,,
Lannister,Tywin Lannister,Tywin Lannister,Stone Mill,12,Battle of the Fords,"20,000",17,,
Stark,Edmure Tully,Edmure Tully,Stone Mill,12,Battle of the Fords,"10,000",17,,
Lannister,Mace Tyrell,Mace Tyrell,Tumbler's Fall,13,None,"10,000",,,
Lannister,Tywin Lannister,Tywin lannister,Tumbler's Fall,13,None,"10,000",,,
Lannister,Loras Tyrell,Loras Tyrell,Tumbler's Fall,13,None,"50,000",,,
Stark,Roose Bolton,Roose Bolton,Harrenhal,13,Battle of Harrenhall,13000,18,,
Stark,Robb Stark,Robb Stark,Crag,13,Battle of the Crag,6000,19,,
Stannis Baratheon,Tyrion Lannister,Tyrion Lannister,King's Landing,13,Battle of the Blackwater,7250,20,,
Stannis Baratheon,Erren Florent,Stannis Baratheon,King's Landing,13,Battle of the Blackwater,25000,20,,
Lannister,Tywin Lannister,Tywin Lannister,King's Landing,14,Battle of the Blackwater,65000,20,,
Stark,Darry,Darry,Darry,15,Siege of Darry,2000,21,,
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Dragonstone,15,None,5000,,,
Stark,Robb Stark,Robb Stark,Oldstones,15,None,3500,,,
Stark,Roose Bolton,Roose Bolton,Duskendale,16,Battle of Duskendale,3000,22,,
Stark,Wyman Manderly,Wyman Manderly,Ruby Ford,16,Battle of the Ruby Ford,6000,24,,
Lannister,Gregor Clegane,Gregor Clegane,Ruby Ford,16,Battle of the Ruby Ford,10000,24,,
Lannister,Ramsay Bolton,Ramsay Bolton,Moat Cailin,18,Siege of Moat Cailin,6000,29,,
Lannister,Gregor Clegane,Gregor Clegane,Harrenhal,17,Retaking of Harrenhal,10000,25,,
Stark,Robb Stark,Robb Stark,Twins,17,Red Wedding,3500,26,,
Lannister,Roose Bolton,Roose Bolton,Twins,17,Red Wedding,3500,26,,
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Castle Black,18,Battle of Castle Black,3000,28,,
Lannister,Frey,Frey,Seagard,18,Siege of Seagard,4000,27,,
Lannister,Randyll Tarly,Randyll Tarly,Maidenpool,18,None,10000,,,
Greyjoy,Asha Greyjoy,Asha Greyjoy,Deepwood Motte,19,Retaking of Deepwood Motte,140,31,,
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Deepwood Motte,19,Retaking of Deepwood Motte,4500,31,,
Greyjoy,Euron Greyjoy,Euron Greyjoy,Shield Island,19,Battle of the Shield Islands,1000,32,,
Greyjoy,Euron Greyjoy,Euron Greyjoy,Ryamsport,20,None,250,33,,
Greyjoy,Euron Greyjoy,Euron Greyjoy,VineTown,20,None,250,33,,
Greyjoy,Euron Greyjoy,Euron Greyjoy,Starfish harbor,20,None,250,33,,
Lannister,Mace Tyrell,Mace Tyrell,Mace Tyrell,20,Second Seige of Storm's End,10000,34,,
Lannister,Loras Tyrell,Loras Tyrell,Loras Tyrell,20,Siege of Dragonstone,2000,35,,
Stark,Brynden Tully,Brynden Tully,Brynden Tully,20,Siege of riverrun,200,36,,
Lannister,Jaime Lannister,Jaime Lannister,Jaime Lannister,20,Siege of riverrun,3000,36,,
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,20,Siege of Winterfell,5000,38,,
Lannister,Ramsay Bolton,Ramsay Bolton,Ramsay Bolton,20,Siege of Winterfell,8000,38,,
